incident_id,date,country,customer_type,tracking_number,carrier,category,description,status,customer_email,satisfaction_score
TRF-000001,2026-08-01,US,B2B,TRK00000001,UPS,LOST_PARCEL,Valid incident description 1,CLOSED,customer1@example.com,1
TRF-000002,2026-08-02,US,B2C,TRK00000002,UPS,LOST_PARCEL,Valid incident description 2,CLOSED,customer2@example.com,1
TRF-000003,2026-08-03,US,B2B,TRK00000003,UPS,LOST_PARCEL,Valid incident description 3,CLOSED,customer3@example.com,1
TRF-000004,2026-08-04,US,B2C,TRK00000004,UPS,LOST_PARCEL,Valid incident description 4,CLOSED,customer4@example.com,1
TRF-000005,2026-08-05,US,B2B,TRK00000005,UPS,LOST_PARCEL,Valid incident description 5,CLOSED,customer5@example.com,1
TRF-000006,2026-08-06,US,B2C,TRK00000006,UPS,LOST_PARCEL,Valid incident description 6,CLOSED,customer6@example.com,1
TRF-000007,2026-08-07,US,B2B,TRK00000007,UPS,LOST_PARCEL,Valid incident description 7,CLOSED,customer7@example.com,2
TRF-000008,2026-08-08,US,B2C,TRK00000008,UPS,LOST_PARCEL,Valid incident description 8,CLOSED,customer8@example.com,2
TRF-000009,2026-08-09,US,B2B,TRK00000009,UPS,LOST_PARCEL,Valid incident description 9,CLOSED,customer9@example.com,2
TRF-000010,2026-08-10,US,B2C,TRK00000010,UPS,LOST_PARCEL,Valid incident description 10,CLOSED,customer10@example.com,2
TRF-000011,2026-08-11,US,B2B,TRK00000011,UPS,LOST_PARCEL,Valid incident description 11,CLOSED,customer11@example.com,2
TRF-000012,2026-08-12,US,B2C,TRK00000012,UPS,LOST_PARCEL,Valid incident description 12,CLOSED,customer12@example.com,2
TRF-000013,2026-08-13,US,B2B,TRK00000013,UPS,LOST_PARCEL,Valid incident description 13,CLOSED,customer13@example.com,2
TRF-000014,2026-08-14,US,B2C,TRK00000014,UPS,LOST_PARCEL,Valid incident description 14,CLOSED,customer14@example.com,2
TRF-000015,2026-08-15,US,B2B,TRK00000015,UPS,DELAYED_DELIVERY,Valid incident description 15,CLOSED,customer15@example.com,2
TRF-000016,2026-08-16,US,B2C,TRK00000016,UPS,DELAYED_DELIVERY,Valid incident description 16,CLOSED,customer16@example.com,2
TRF-000017,2026-08-17,US,B2B,TRK00000017,UPS,DELAYED_DELIVERY,Valid incident description 17,CLOSED,customer17@example.com,2
TRF-000018,2026-08-18,US,B2C,TRK00000018,UPS,DELAYED_DELIVERY,Valid incident description 18,CLOSED,customer18@example.com,3
TRF-000019,2026-08-19,US,B2B,TRK00000019,UPS,DELAYED_DELIVERY,Valid incident description 19,CLOSED,customer19@example.com,3
TRF-000020,2026-08-20,US,B2C,TRK00000020,UPS,DELAYED_DELIVERY,Valid incident description 20,CLOSED,customer20@example.com,3
TRF-000021,2026-08-21,US,B2B,TRK00000021,UPS,DELAYED_DELIVERY,Valid incident description 21,CLOSED,customer21@example.com,3
TRF-000022,2026-08-22,US,B2C,TRK00000022,UPS,DELAYED_DELIVERY,Valid incident description 22,CLOSED,customer22@example.com,3
TRF-000023,2026-08-23,US,B2B,TRK00000023,UPS,DELAYED_DELIVERY,Valid incident description 23,CLOSED,customer23@example.com,3
TRF-000024,2026-08-24,US,B2C,TRK00000024,UPS,DELAYED_DELIVERY,Valid incident description 24,CLOSED,customer24@example.com,3
TRF-000025,2026-08-25,US,B2B,TRK00000025,UPS,DELAYED_DELIVERY,Valid incident description 25,CLOSED,customer25@example.com,3
TRF-000026,2026-08-26,US,B2C,TRK00000026,UPS,DELAYED_DELIVERY,Valid incident description 26,CLOSED,customer26@example.com,3
TRF-000027,2026-08-27,US,B2B,TRK00000027,UPS,DELAYED_DELIVERY,Valid incident description 27,CLOSED,customer27@example.com,3
TRF-000028,2026-08-28,US,B2C,TRK00000028,UPS,DELAYED_DELIVERY,Valid incident description 28,CLOSED,customer28@example.com,3
TRF-000029,2026-08-01,US,B2B,TRK00000029,UPS,DELAYED_DELIVERY,Valid incident description 29,CLOSED,customer29@example.com,3
TRF-000030,2026-08-02,US,B2C,TRK00000030,UPS,DELAYED_DELIVERY,Valid incident description 30,CLOSED,customer30@example.com,3
TRF-000031,2026-08-03,US,B2B,TRK00000031,UPS,DELAYED_DELIVERY,Valid incident description 31,CLOSED,customer31@example.com,3
TRF-000032,2026-08-04,US,B2C,TRK00000032,UPS,DELAYED_DELIVERY,Valid incident description 32,CLOSED,customer32@example.com,3
TRF-000033,2026-08-05,US,B2B,TRK00000033,UPS,DELAYED_DELIVERY,Valid incident description 33,CLOSED,customer33@example.com,4
TRF-000034,2026-08-06,US,B2C,TRK00000034,UPS,DELAYED_DELIVERY,Valid incident description 34,CLOSED,customer34@example.com,4
TRF-000035,2026-08-07,US,B2B,TRK00000035,UPS,DELAYED_DELIVERY,Valid incident description 35,CLOSED,customer35@example.com,4
TRF-000036,2026-08-08,US,B2C,TRK00000036,UPS,DELAYED_DELIVERY,Valid incident description 36,CLOSED,customer36@example.com,4
TRF-000037,2026-08-09,US,B2B,TRK00000037,UPS,DELAYED_DELIVERY,Valid incident description 37,CLOSED,customer37@example.com,4
TRF-000038,2026-08-10,US,B2C,TRK00000038,UPS,DELAYED_DELIVERY,Valid incident description 38,CLOSED,customer38@example.com,4
TRF-000039,2026-08-11,US,B2B,TRK00000039,UPS,DELAYED_DELIVERY,Valid incident description 39,CLOSED,customer39@example.com,4
TRF-000040,2026-08-12,US,B2C,TRK00000040,UPS,DELAYED_DELIVERY,Valid incident description 40,CLOSED,customer40@example.com,4
TRF-000041,2026-08-13,US,B2B,TRK00000041,UPS,DELAYED_DELIVERY,Valid incident description 41,CLOSED,customer41@example.com,4
TRF-000042,2026-08-14,US,B2C,TRK00000042,UPS,DELAYED_DELIVERY,Valid incident description 42,CLOSED,customer42@example.com,4
TRF-000043,2026-08-15,US,B2B,TRK00000043,UPS,DELAYED_DELIVERY,Valid incident description 43,CLOSED,customer43@example.com,4
TRF-000044,2026-08-16,US,B2C,TRK00000044,UPS,DELAYED_DELIVERY,Valid incident description 44,CLOSED,customer44@example.com,4
TRF-000045,2026-08-17,US,B2B,TRK00000045,UPS,DELAYED_DELIVERY,Valid incident description 45,CLOSED,customer45@example.com,4
TRF-000046,2026-08-18,US,B2C,TRK00000046,UPS,DELAYED_DELIVERY,Valid incident description 46,CLOSED,customer46@example.com,4
TRF-000047,2026-08-19,US,B2B,TRK00000047,UPS,DELAYED_DELIVERY,Valid incident description 47,CLOSED,customer47@example.com,5
TRF-000048,2026-08-20,US,B2C,TRK00000048,UPS,DELAYED_DELIVERY,Valid incident description 48,CLOSED,customer48@example.com,5
TRF-000049,2026-08-21,US,B2B,TRK00000049,UPS,DELAYED_DELIVERY,Valid incident description 49,CLOSED,customer49@example.com,5
TRF-000050,2026-08-22,US,B2C,TRK00000050,UPS,DELAYED_DELIVERY,Valid incident description 50,CLOSED,customer50@example.com,5
TRF-000051,2026-08-23,ES,B2B,TRK00000051,MRW,DELAYED_DELIVERY,Valid incident description 51,CLOSED,customer51@example.com,5
TRF-000052,2026-08-24,ES,B2C,TRK00000052,MRW,DELAYED_DELIVERY,Valid incident description 52,CLOSED,customer52@example.com,5
TRF-000053,2026-08-25,ES,B2B,TRK00000053,MRW,WRONG_ADDRESS,Valid incident description 53,OPEN,customer53@example.com,
TRF-000054,2026-08-26,ES,B2C,TRK00000054,MRW,WRONG_ADDRESS,Valid incident description 54,OPEN,customer54@example.com,
TRF-000055,2026-08-27,ES,B2B,TRK00000055,MRW,WRONG_ADDRESS,Valid incident description 55,OPEN,customer55@example.com,
TRF-000056,2026-08-28,ES,B2C,TRK00000056,MRW,WRONG_ADDRESS,Valid incident description 56,OPEN,customer56@example.com,
TRF-000057,2026-08-01,ES,B2B,TRK00000057,MRW,WRONG_ADDRESS,Valid incident description 57,OPEN,customer57@example.com,
TRF-000058,2026-08-02,ES,B2C,TRK00000058,MRW,WRONG_ADDRESS,Valid incident description 58,OPEN,customer58@example.com,
TRF-000059,2026-08-03,ES,B2B,TRK00000059,MRW,WRONG_ADDRESS,Valid incident description 59,OPEN,customer59@example.com,
TRF-000060,2026-08-04,ES,B2C,TRK00000060,MRW,WRONG_ADDRESS,Valid incident description 60,OPEN,customer60@example.com,
TRF-000061,2026-08-05,ES,B2B,TRK00000061,MRW,WRONG_ADDRESS,Valid incident description 61,OPEN,customer61@example.com,
TRF-000062,2026-08-06,ES,B2C,TRK00000062,MRW,WRONG_ADDRESS,Valid incident description 62,OPEN,customer62@example.com,
TRF-000063,2026-08-07,ES,B2B,TRK00000063,MRW,WRONG_ADDRESS,Valid incident description 63,OPEN,customer63@example.com,
TRF-000064,2026-08-08,ES,B2C,TRK00000064,MRW,WRONG_ADDRESS,Valid incident description 64,OPEN,customer64@example.com,
TRF-000065,2026-08-09,ES,B2B,TRK00000065,MRW,WRONG_ADDRESS,Valid incident description 65,OPEN,customer65@example.com,
TRF-000066,2026-08-10,ES,B2C,TRK00000066,MRW,WRONG_ADDRESS,Valid incident description 66,OPEN,customer66@example.com,
TRF-000067,2026-08-11,ES,B2B,TRK00000067,MRW,WRONG_ADDRESS,Valid incident description 67,OPEN,customer67@example.com,
TRF-000068,2026-08-12,ES,B2C,TRK00000068,MRW,WRONG_ADDRESS,Valid incident description 68,OPEN,customer68@example.com,
